deso,kommun,lan,kommunnamn,lannamn,2_doser,minst_1_dos
1280C2080,1280,12,Malmö,Skåne,0.69,0.8
1489B3010,1489,14,Alingsås,Västra Götaland,0.66,0.82
1499B3010,1499,14,Falköping,Västra Götaland,0.69,0.81
1287B2010,1287,12,Trelleborg,Skåne,0.8,0.87
1287C1050,1287,12,Trelleborg,Skåne,0.64,0.74
1233B2060,1233,12,Vellinge,Skåne,0.84,0.89
1287A0020,1287,12,Trelleborg,Skåne,0.69,0.79
1280C2000,1280,12,Malmö,Skåne,0.43,0.53
1287C1010,1287,12,Trelleborg,Skåne,0.83,0.9
1287C1030,1287,12,Trelleborg,Skåne,0.62,0.71
1287C1070,1287,12,Trelleborg,Skåne,0.64,0.76
1287C1020,1287,12,Trelleborg,Skåne,0.82,0.9
1287C1120,1287,12,Trelleborg,Skåne,0.62,0.72
1287C1100,1287,12,Trelleborg,Skåne,0.71,0.79
1287C1130,1287,12,Trelleborg,Skåne,0.7,0.81
1280C1940,1280,12,Malmö,Skåne,0.55,0.68
1280C1970,1280,12,Malmö,Skåne,0.52,0.71
1280C1980,1280,12,Malmö,Skåne,0.33,0.43
1287B2020,1287,12,Trelleborg,Skåne,0.84,0.89
1281C1180,1281,12,Lund,Skåne,0.69,0.86
1265A0050,1265,12,Sjöbo,Skåne,0.65,0.76
1281C1190,1281,12,Lund,Skåne,0.86,0.92
1230A0020,1230,12,Staffanstorp,Skåne,0.68,0.8
1265A0040,1265,12,Sjöbo,Skåne,0.63,0.73
1287C1090,1287,12,Trelleborg,Skåne,0.77,0.84
1280C2270,1280,12,Malmö,Skåne,0.69,0.82
0182C1430,0182,01,Nacka,Stockholm,0.67,0.77
1287C1110,1287,12,Trelleborg,Skåne,0.69,0.77
1287C1150,1287,12,Trelleborg,Skåne,0.68,0.78
0180C4270,0180,01,Stockholm,Stockholm,0.7,0.81
1499C1010,1499,14,Falköping,Västra Götaland,0.73,0.87
1462A0020,1462,14,Lilla Edet,Västra Götaland,0.6,0.76
1421B4010,1421,14,Orust,Västra Götaland,0.64,0.8
1499C1030,1499,14,Falköping,Västra Götaland,0.65,0.8
2482C1210,2482,24,Skellefteå,Västerbotten,0.58,0.86
1498C1010,1498,14,Tidaholm,Västra Götaland,0.66,0.81
1499C1020,1499,14,Falköping,Västra Götaland,0.68,0.8
1080C1180,1080,10,Karlskrona,Blekinge,0.79,0.87
1081C1010,1081,10,Ronneby,Blekinge,0.83,0.91
1462C1030,1462,14,Lilla Edet,Västra Götaland,0.61,0.76
2482C1080,2482,24,Skellefteå,Västerbotten,0.64,0.89
1462C1040,1462,14,Lilla Edet,Västra Götaland,0.59,0.72
1498C1040,1498,14,Tidaholm,Västra Götaland,0.64,0.81
1415A0020,1415,14,Stenungsund,Västra Götaland,0.54,0.74
1498A0010,1498,14,Tidaholm,Västra Götaland,0.67,0.81
1415C1120,1415,14,Stenungsund,Västra Götaland,0.65,0.86
0680A0100,0680,06,Jönköping,Jönköping,0.78,0.85
2180C1250,2180,21,Gävle,Gävleborg,0.71,0.83
1499C1060,1499,14,Falköping,Västra Götaland,0.72,0.87
1499C1080,1499,14,Falköping,Västra Götaland,0.58,0.73
0138C1190,0138,01,Tyresö,Stockholm,0.77,0.87
0180C1110,0180,01,Stockholm,Stockholm,0.71,0.83
1499C1070,1499,14,Falköping,Västra Götaland,0.79,0.9
0180C3980,0180,01,Stockholm,Stockholm,0.74,0.87
0180C3910,0180,01,Stockholm,Stockholm,0.81,0.93
0180C4100,0180,01,Stockholm,Stockholm,0.73,0.88
0120C1090,0120,01,Värmdö,Stockholm,0.77,0.9
1498C1020,1498,14,Tidaholm,Västra Götaland,0.7,0.85
1415A0030,1415,14,Stenungsund,Västra Götaland,0.61,0.82
1488A0010,1488,14,Trollhättan,Västra Götaland,0.65,0.85
1280C1210,1280,12,Malmö,Skåne,0.43,0.54
1470B3010,1470,14,Vara,Västra Götaland,0.63,0.76
1880C1560,1880,18,Örebro,Örebro,0.71,0.75
0180C1390,0180,01,Stockholm,Stockholm,0.67,0.82
1280C1240,1280,12,Malmö,Skåne,0.35,0.46
1291A0020,1291,12,Simrishamn,Skåne,0.77,0.84
0561C1010,0561,05,Åtvidaberg,Östergötland,0.81,0.9
1498C1050,1498,14,Tidaholm,Västra Götaland,0.71,0.87
1421B2010,1421,14,Orust,Västra Götaland,0.69,0.84
1498C1030,1498,14,Tidaholm,Västra Götaland,0.75,0.91
1284C1010,1284,12,Höganäs,Skåne,0.83,0.91
1499C1090,1499,14,Falköping,Västra Götaland,0.58,0.73
0561C1030,0561,05,Åtvidaberg,Östergötland,0.84,0.92
0560C1010,0560,05,Boxholm,Östergötland,0.72,0.86
0180C1640,0180,01,Stockholm,Stockholm,0.66,0.8
0561C1020,0561,05,Åtvidaberg,Östergötland,0.8,0.89
0513A0030,0513,05,Kinda,Östergötland,0.8,0.9
0560C1020,0560,05,Boxholm,Östergötland,0.78,0.9
1489A0050,1489,14,Alingsås,Västra Götaland,0.65,0.81
1445C1010,1445,14,Essunga,Västra Götaland,0.67,0.81
0561C1050,0561,05,Åtvidaberg,Östergötland,0.82,0.91
0563C1010,0563,05,Valdemarsvik,Östergötland,0.73,0.85
0561C1040,0561,05,Åtvidaberg,Östergötland,0.71,0.83
1499A0020,1499,14,Falköping,Västra Götaland,0.66,0.81
1421A0010,1421,14,Orust,Västra Götaland,0.73,0.86
1421A0030,1421,14,Orust,Västra Götaland,0.67,0.83
0563C1020,0563,05,Valdemarsvik,Östergötland,0.72,0.84
1470A0010,1470,14,Vara,Västra Götaland,0.69,0.82
1499A0030,1499,14,Falköping,Västra Götaland,0.67,0.83
0509C1010,0509,05,Ödeshög,Östergötland,0.77,0.84
1445A0010,1445,14,Essunga,Västra Götaland,0.65,0.82
1484C1030,1484,14,Lysekil,Västra Götaland,0.55,0.69
1470A0030,1470,14,Vara,Västra Götaland,0.7,0.84
1488A0030,1488,14,Trollhättan,Västra Götaland,0.68,0.86
1421A0020,1421,14,Orust,Västra Götaland,0.78,0.89
1488B2010,1488,14,Trollhättan,Västra Götaland,0.67,0.86
1421B3010,1421,14,Orust,Västra Götaland,0.7,0.84
0509C1020,0509,05,Ödeshög,Östergötland,0.72,0.81
0181C1100,0181,01,Södertälje,Stockholm,0.52,0.64
1485B2010,1485,14,Uddevalla,Västra Götaland,0.73,0.88
0180C4650,0180,01,Stockholm,Stockholm,0.73,0.87
0180C4690,0180,01,Stockholm,Stockholm,0.68,0.83
0180C4580,0180,01,Stockholm,Stockholm,0.8,0.9
0180C4520,0180,01,Stockholm,Stockholm,0.68,0.82
0180C4640,0180,01,Stockholm,Stockholm,0.72,0.86
1485B2020,1485,14,Uddevalla,Västra Götaland,0.74,0.88
1498A0020,1498,14,Tidaholm,Västra Götaland,0.68,0.82
0509A0010,0509,05,Ödeshög,Östergötland,0.76,0.85
1488A0020,1488,14,Trollhättan,Västra Götaland,0.69,0.87
1470A0020,1470,14,Vara,Västra Götaland,0.66,0.81
0561A0010,0561,05,Åtvidaberg,Östergötland,0.77,0.86
0580A0020,0580,05,Linköping,Östergötland,0.83,0.92
1498A0030,1498,14,Tidaholm,Västra Götaland,0.63,0.83
1499A0040,1499,14,Falköping,Västra Götaland,0.73,0.85
1488C1020,1488,14,Trollhättan,Västra Götaland,0.53,0.73
1263C1040,1263,12,Svedala,Skåne,0.74,0.82
1470C1010,1470,14,Vara,Västra Götaland,0.65,0.81
1287C1140,1287,12,Trelleborg,Skåne,0.73,0.79
1285C1060,1285,12,Eslöv,Skåne,0.73,0.84
1283C1460,1283,12,Helsingborg,Skåne,0.61,0.77
1283C1440,1283,12,Helsingborg,Skåne,0.69,0.81
0764A0010,0764,07,Alvesta,Kronoberg,0.69,0.82
1280C2730,1280,12,Malmö,Skåne,0.6,0.74
1287C1160,1287,12,Trelleborg,Skåne,0.75,0.85
1287C1170,1287,12,Trelleborg,Skåne,0.77,0.86
1287C1180,1287,12,Trelleborg,Skåne,0.69,0.79
1287C1190,1287,12,Trelleborg,Skåne,0.73,0.83
1233B3020,1233,12,Vellinge,Skåne,0.84,0.9
1280C1090,1280,12,Malmö,Skåne,0.73,0.81
1233B2040,1233,12,Vellinge,Skåne,0.81,0.89
1286C1020,1286,12,Ystad,Skåne,0.74,0.84
1286C1010,1286,12,Ystad,Skåne,0.72,0.83
1286C1030,1286,12,Ystad,Skåne,0.74,0.85
1233B2020,1233,12,Vellinge,Skåne,0.83,0.89
1286C1040,1286,12,Ystad,Skåne,0.81,0.9
1286C1050,1286,12,Ystad,Skåne,0.79,0.89
1233B2070,1233,12,Vellinge,Skåne,0.85,0.9
1233B2030,1233,12,Vellinge,Skåne,0.84,0.89
1287A0010,1287,12,Trelleborg,Skåne,0.74,0.83
1264B3010,1264,12,Skurup,Skåne,0.64,0.74
1280C1140,1280,12,Malmö,Skåne,0.81,0.88
1264A0010,1264,12,Skurup,Skåne,0.76,0.84
1280C2030,1280,12,Malmö,Skåne,0.62,0.73
1280C2060,1280,12,Malmö,Skåne,0.6,0.73
1287B3010,1287,12,Trelleborg,Skåne,0.73,0.83
1280C2490,1280,12,Malmö,Skåne,0.73,0.86
1280C2520,1280,12,Malmö,Skåne,0.69,0.82
1286C1080,1286,12,Ystad,Skåne,0.71,0.81
1280C2410,1280,12,Malmö,Skåne,0.71,0.84
1280C2330,1280,12,Malmö,Skåne,0.83,0.92
1280C2450,1280,12,Malmö,Skåne,0.66,0.82
1286C1100,1286,12,Ystad,Skåne,0.76,0.87
1233B3040,1233,12,Vellinge,Skåne,0.85,0.9
1286B2020,1286,12,Ystad,Skåne,0.76,0.87
1280C2400,1280,12,Malmö,Skåne,0.62,0.76
1280C2460,1280,12,Malmö,Skåne,0.66,0.81
1280C2480,1280,12,Malmö,Skåne,0.68,0.77
1280C2470,1280,12,Malmö,Skåne,0.65,0.81
1280C2510,1280,12,Malmö,Skåne,0.66,0.76
1280C2440,1280,12,Malmö,Skåne,0.69,0.79
1291B5010,1291,12,Simrishamn,Skåne,0.74,0.82
1286B2010,1286,12,Ystad,Skåne,0.82,0.91
1287A0030,1287,12,Trelleborg,Skåne,0.75,0.83
1280C1160,1280,12,Malmö,Skåne,0.54,0.66
1233B2080,1233,12,Vellinge,Skåne,0.82,0.89
1280C2610,1280,12,Malmö,Skåne,0.51,0.69
1280C2670,1280,12,Malmö,Skåne,0.64,0.8
1286A0020,1286,12,Ystad,Skåne,0.73,0.82
1286A0010,1286,12,Ystad,Skåne,0.75,0.82
1280C2810,1280,12,Malmö,Skåne,0.59,0.77
2580C1210,2580,25,Luleå,Norrbotten,0.69,0.9
1264C1010,1264,12,Skurup,Skåne,0.66,0.79
1286A0030,1286,12,Ystad,Skåne,0.78,0.87
1264A0020,1264,12,Skurup,Skåne,0.69,0.81
1280C2830,1280,12,Malmö,Skåne,0.58,0.72
1280C2740,1280,12,Malmö,Skåne,0.69,0.78
1494C1120,1494,14,Lidköping,Västra Götaland,0.63,0.81
1233C1010,1233,12,Vellinge,Skåne,0.83,0.9
1233C1030,1233,12,Vellinge,Skåne,0.73,0.82
1231C1010,1231,12,Burlöv,Skåne,0.53,0.65
1231C1030,1231,12,Burlöv,Skåne,0.48,0.61
1281A0010,1281,12,Lund,Skåne,0.72,0.8
1427B2010,1427,14,Sotenäs,Västra Götaland,0.76,0.85
1233C1020,1233,12,Vellinge,Skåne,0.8,0.86
1286C1110,1286,12,Ystad,Skåne,0.76,0.87
1264C1040,1264,12,Skurup,Skåne,0.66,0.78
1286A0040,1286,12,Ystad,Skåne,0.71,0.81
1291B4010,1291,12,Simrishamn,Skåne,0.86,0.91
0163C1070,0163,01,Sollentuna,Stockholm,0.72,0.84
1264C1020,1264,12,Skurup,Skåne,0.67,0.8
1280C1680,1280,12,Malmö,Skåne,0.35,0.49
1280C1790,1280,12,Malmö,Skåne,0.69,0.79
1292B3020,1292,12,Ängelholm,Skåne,0.72,0.81
