lan,kommun,deso,lannamn,kommunnamn,regso,age,minst_1_dos,2_doser
12,1284,1284A0030,Skåne,Höganäs,Höganäs landsbygd,18-64,70-80,60-70
12,1284,1284A0030,Skåne,Höganäs,Höganäs landsbygd,65+,90-100,90-100
12,1257,1257A0010,Skåne,Örkelljunga,Örkelljunga omland,18-64,70-80,50-60
12,1257,1257A0010,Skåne,Örkelljunga,Örkelljunga omland,65+,90-100,80-90
12,1256,1256A0020,Skåne,Östra Göinge,Östra Göinge landsbygd,18-64,70-80,50-60
12,1256,1256A0020,Skåne,Östra Göinge,Östra Göinge landsbygd,65+,90-100,80-90
12,1284,1284B2020,Skåne,Höganäs,Jonstorp-Rekekroken-Svanshall,18-64,80-90,70-80
12,1284,1284B2020,Skåne,Höganäs,Jonstorp-Rekekroken-Svanshall,65+,90-100,90-100
10,1082,1082A0010,Blekinge,Karlshamn,Mörrum-Svängsta omland,18-64,70-80,60-70
10,1082,1082A0010,Blekinge,Karlshamn,Mörrum-Svängsta omland,65+,90-100,80-90
12,1292,1292C1100,Skåne,Ängelholm,Havsbaden-Paletten-Danielslund,18-64,80-90,70-80
12,1292,1292C1100,Skåne,Ängelholm,Havsbaden-Paletten-Danielslund,65+,90-100,90-100
12,1292,1292C1120,Skåne,Ängelholm,Skälderviken-Pomona-Ärrarps ängar,18-64,80-90,70-80
12,1292,1292C1120,Skåne,Ängelholm,Skälderviken-Pomona-Ärrarps ängar,65+,90-100,90-100
18,1880,1880C1420,Örebro,Örebro,Örebro väster,18-64,70-80,60-70
18,1880,1880C1420,Örebro,Örebro,Örebro väster,65+,90-100,90-100
18,1880,1880C1400,Örebro,Örebro,Markbacken-Västra Mark,18-64,70-80,50-60
18,1880,1880C1400,Örebro,Örebro,Markbacken-Västra Mark,65+,90-100,90-100
12,1256,1256B4010,Skåne,Östra Göinge,Sibbhult,18-64,60-70,50-60
12,1256,1256B4010,Skåne,Östra Göinge,Sibbhult,65+,90-100,80-90
10,1082,1082B2010,Blekinge,Karlshamn,Svängsta,18-64,70-80,50-60
10,1082,1082B2010,Blekinge,Karlshamn,Svängsta,65+,80-90,80-90
10,1080,1080A0040,Blekinge,Karlskrona,Karlskronas omland-Nättrabys omland,18-64,80-90,70-80
10,1080,1080A0040,Blekinge,Karlskrona,Karlskronas omland-Nättrabys omland,65+,90-100,90-100
10,1080,1080B2020,Blekinge,Karlskrona,Rödeby tätort,18-64,80-90,70-80
10,1080,1080B2020,Blekinge,Karlskrona,Rödeby tätort,65+,90-100,90-100
10,1060,1060C1030,Blekinge,Olofström,Olofströms tätort nordöstra-Brännaregården,18-64,70-80,50-60
10,1060,1060C1030,Blekinge,Olofström,Olofströms tätort nordöstra-Brännaregården,65+,90-100,80-90
12,1292,1292C1110,Skåne,Ängelholm,Adolfsfält-Rebbelberga-Karlslund,18-64,80-90,70-80
12,1292,1292C1110,Skåne,Ängelholm,Adolfsfält-Rebbelberga-Karlslund,65+,90-100,90-100
10,1060,1060C1040,Blekinge,Olofström,Olofströms tätort nordvästra-Vilboken,18-64,60-70,50-60
10,1060,1060C1040,Blekinge,Olofström,Olofströms tätort nordvästra-Vilboken,65+,90-100,80-90
18,1880,1880C1130,Örebro,Örebro,Sörbyängen,18-64,70-80,60-70
18,1880,1880C1130,Örebro,Örebro,Sörbyängen,65+,90-100,90-100
01,0126,0126C1110,Stockholm,Huddinge,Flemingsberg västra,18-64,40-50,30-40
01,0126,0126C1110,Stockholm,Huddinge,Flemingsberg västra,65+,70-80,70-80
01,0126,0126C1140,Stockholm,Huddinge,Flemingsberg västra,18-64,50-60,30-40
01,0126,0126C1140,Stockholm,Huddinge,Flemingsberg västra,65+,70-80,70-80
10,1060,1060C1050,Blekinge,Olofström,Olofströms tätort norra-centrala,18-64,70-80,50-60
10,1060,1060C1050,Blekinge,Olofström,Olofströms tätort norra-centrala,65+,80-90,80-90
12,1290,1290A0110,Skåne,Kristianstad,Fjälkinge-Arkelstorp-Bäckaskog,18-64,70-80,60-70
12,1290,1290A0110,Skåne,Kristianstad,Fjälkinge-Arkelstorp-Bäckaskog,65+,90-100,90-100
12,1292,1292B2020,Skåne,Ängelholm,Munka Ljungby-Tåstarp-Toarp,18-64,70-80,60-70
12,1292,1292B2020,Skåne,Ängelholm,Munka Ljungby-Tåstarp-Toarp,65+,90-100,90-100
08,0880,0880C1110,Kalmar,Kalmar,Getingen-Tallhagen-Västra Norrgård,18-64,80-90,50-60
08,0880,0880C1110,Kalmar,Kalmar,Getingen-Tallhagen-Västra Norrgård,65+,90-100,90-100
13,1380,1380C1160,Halland,Halmstad,Gustavsfält-Linehed-Östergård,18-64,60-70,40-50
13,1380,1380C1160,Halland,Halmstad,Gustavsfält-Linehed-Östergård,65+,80-90,80-90
13,1380,1380C1170,Halland,Halmstad,Engelbrekt-Östra Förstaden,18-64,70-80,50-60
13,1380,1380C1170,Halland,Halmstad,Engelbrekt-Östra Förstaden,65+,90-100,90-100
08,0840,0840A0020,Kalmar,Mörbylånga,Mörbylånga omland,18-64,80-90,70-80
